COD_GLA,epoch,t_start,t_end,dt_yr,clip_outline,end_outline,outline_set,area_start_m2,area_end_m2,area_mean_m2,count,mean,std,median,dh_yr_m,dV_m3,dV_yr_m3,mb_mwe_yr,sigma_dh_m,sigma_dV_m3,sigma_mb_elev_mwe_yr,sigma_mb_density_mwe_yr,sigma_mb_mwe_yr,sigma_mb_total_m3yr,uncertainty_source,corr_length_m
CL108130007,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,136535.91887611424,63701.17214433337,100118.5455102238,151,-10.953878440604305,7.499214322889798,-11.357421875,-0.5975307973256324,-1495597.8581451662,-59823.91432580665,-0.5079011777267876,11.2489,1126224.99,0.3825,0.0359,0.3841,38291.65,Pleiades_2025,660.4
CL108130006,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,12642.261876412545,7250.113350581604,9946.187613497075,12,-2.7198486328125,1.6403237429549848,-2.8182373046875,-0.1382842955166356,-34385.038680218255,-1375.40154720873,-0.11754165118914026,11.2489,111883.82,0.3825,0.0083,0.3826,3804.05,Pleiades_2025,660.4
CL108130005,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,19974.23058860466,10225.822899689665,15100.026744147162,21,-6.103631882440476,3.863788577573763,-6.771728515625,-0.32295399925720036,-121915.3506478252,-4876.614025913008,-0.2745108993686203,11.2489,169858.91,0.3825,0.0194,0.383,5775.2,Pleiades_2025,660.4
CL108130004,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,14844.72917876013,7709.606672793749,11277.16792577694,16,-1.0341949462890625,2.499935488268983,-1.4371337890625,-0.0544546077410506,-15352.34389570351,-614.0937558281404,-0.046286416579893006,11.2489,126855.9,0.3825,0.0033,0.3825,4313.1,Pleiades_2025,660.4
CL108100005,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,26041.33993567226,0.0,13020.66996783613,28,5.662545340401786,13.207891913588352,1.5206298828125,0.4530036272321428,147460.26811055987,5898.410724422395,0.3850530831473214,11.2489,146468.41,0.3825,0.0272,0.3834,4979.93,Pleiades_2025,660.4
CL108100006,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,69821.42677698063,11691.4692632816,40756.448020131116,77,-3.1762124594155843,4.933189266524824,-3.604248046875,-0.21765163201040438,-221767.68566321878,-8870.707426528752,-0.18500388720884373,11.2489,458465.81,0.3825,0.0131,0.3827,15587.84,Pleiades_2025,660.4
CL108101047,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,13255.754918359344,0.0,6627.877459179672,16,16.984954833984375,17.63135732137432,11.8681640625,1.35879638671875,225148.39857869968,9005.935943147988,1.1549769287109375,11.2489,74556.43,0.3825,0.0815,0.3911,2534.92,Pleiades_2025,660.4
CL108101046,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,12340.844277467144,0.0,6170.422138733572,14,20.818394252232142,14.692915677119535,19.1016845703125,1.6654715401785714,256916.5615737139,10276.662462948556,1.4156508091517856,11.2489,69410.55,0.3825,0.0999,0.3953,2359.96,Pleiades_2025,660.4
CL108130002,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,49022.9203716103,0.0,24511.46018580515,57,-12.779690926535087,7.160478593663719,-13.5908203125,-1.022375274122807,-626497.7706653202,-25059.91082661281,-0.8690189830043858,11.2489,275727.33,0.3825,0.0613,0.3874,9374.73,Pleiades_2025,660.4
CL108130001,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,19314.826235377994,0.0,9657.413117688997,23,-1.0223441745923914,4.0630482057335415,-0.679931640625,-0.0817875339673913,-19746.40008500298,-789.8560034001192,-0.0695194038722826,11.2489,108635.42,0.3825,0.0049,0.3825,3693.6,Pleiades_2025,660.4
CL108101050,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,29941.252559608027,23749.39846280247,26845.32551120525,36,-0.6403130425347222,4.112569279656889,0.3187255859375,-0.028566276114984482,-19171.774523743155,-766.8709809497262,-0.024281334697736807,11.2489,301980.78,0.3825,0.0017,0.3825,10267.35,Pleiades_2025,660.4
CL108105002,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,29694.91054588282,23535.83946909417,26615.375007488496,32,2.1483154296875,7.835941318975033,1.236572265625,0.09587546219575874,63794.034508910125,2551.761380356405,0.08149414286639492,11.2489,299394.09,0.3825,0.0058,0.3825,10179.4,Pleiades_2025,660.4
CL108101048,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,827653.8625303145,290334.30766620673,558994.0850982605,918,-18.4872259667756,12.536853268406377,-17.4210205078125,-1.0948970221166419,-15301023.978872553,-612040.9591549021,-0.9306624687991456,11.2489,6288076.84,0.3825,0.0657,0.3881,213794.61,Pleiades_2025,660.4
CL108116003,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,26466.280941614546,36772.03853463371,31619.15973812413,29,-9.339557516163794,10.035476127719482,-6.063720703125,-0.3127007234099553,-247183.35309315872,-9887.334123726348,-0.265795614898462,11.2489,355681.23,0.3825,0.0188,0.3829,12093.16,Pleiades_2025,660.4
CL108116002,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,13866.03001181834,12179.645134956761,13022.837573387551,15,1.6998209635416666,2.4199318075467975,1.704833984375,0.07239518534225459,23569.768495186716,942.7907398074686,0.061535907540916396,11.2489,146492.79,0.3825,0.0043,0.3825,4980.75,Pleiades_2025,660.4
CL108116001,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,18554.6117623248,11765.91181544425,15160.261788884523,22,-8.704889470880682,8.395546934988081,-9.303466796875,-0.4261558192472986,-161515.84456614,-6460.6337826456,-0.3622324463602038,11.2489,170536.49,0.3825,0.0256,0.3833,5798.24,Pleiades_2025,660.4
CL108116005,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,15456.35357608546,20182.859550357967,17819.606563221714,18,-2.139553493923611,3.2561348373650727,-1.75,-0.0742321558665288,-33069.69529703235,-1322.787811881294,-0.06309733248654947,11.2489,200451.24,0.3825,0.0045,0.3825,6815.34,Pleiades_2025,660.4
CL108116006,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,20412.057947138117,21884.45546478374,21148.25670596093,24,-1.0565999348958333,3.0102405422326903,-0.70556640625,-0.04079273180367069,-21567.379098036112,-862.6951639214444,-0.03467382203312009,11.2489,237894.94,0.3825,0.0024,0.3825,8088.43,Pleiades_2025,660.4
CL108116004,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,762991.5630893274,684260.3079776622,723625.9355334948,841,-20.08874293995244,12.944762673953841,-21.38720703125,-0.8472632405002862,-15327541.376254002,-613101.65505016,-0.7201737544252432,10.9451,7920154.79,0.3721,0.0508,0.3756,269285.26,Pleiades_2025,660.4
CL108101049,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,178776.33561684683,40439.3738689701,109607.85474290847,198,-18.7706940005524,11.93907339545879,-17.2010498046875,-1.2246406603888043,-3355755.890403889,-134230.23561615555,-1.0409445613304835,11.2489,1232969.42,0.3825,0.0735,0.3895,41920.96,Pleiades_2025,660.4
CL108105003,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,181142.5192812589,175467.09766120606,178304.80847123248,200,-5.913336181640625,7.102994696702783,-4.9761962890625,-0.2402978635255868,-1071156.6132994029,-42846.264531976114,-0.20425318399674877,11.2489,2005735.6,0.3825,0.0144,0.3827,68195.01,Pleiades_2025,660.4
CL108130009,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,64654.07579294992,110672.753063058,87663.41442800396,70,-17.97827845982143,8.792371534682827,-19.500244140625,-0.530378144977541,-1162368.9781680536,-46494.75912672214,-0.45082142323090985,11.2489,986118.28,0.3825,0.0318,0.3838,33528.02,Pleiades_2025,660.4
CL108130010,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,138752.79237099385,75095.29771568626,106924.04504334005,149,-8.244104577390939,10.850791659306324,-7.385009765625,-0.5943432556612319,-1143892.5307114848,-63549.58503952694,-0.5051917673120471,0.8701,93034.36,0.0411,0.0357,0.0544,4393.29,ASTER_20180301,37.4
CL108100003,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,24626.305990230423,31395.700639329196,28011.00331477981,28,-1.8884015764508928,4.426939044762367,-1.2303466796875,-0.09223429991959128,-46504.3550541132,-2583.5752807840668,-0.07839915493165259,1.7,47617.87,0.0803,0.0055,0.0805,2248.62,ASTER_20180301,37.4
CL108100002,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,22703.88255318053,25801.593847761767,24252.738200471147,29,4.8557718211206895,6.136057150479579,5.170166015625,0.2525370588409729,110244.87313176767,6124.715173987093,0.21465650001482695,1.8269,44308.4,0.0863,0.0152,0.0876,2092.34,ASTER_20180301,37.4
CL108100004,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,90476.6676198803,51295.81733083308,70886.24247535669,90,-8.630843098958334,9.199253920941208,-8.8662109375,-0.6120055450622282,-780889.9223437909,-43382.77346354394,-0.5202047133028939,1.0686,75750.7,0.0505,0.0367,0.0624,3577.12,ASTER_20180301,37.4
CL108130008,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,63691.36871919074,35568.0709816494,49629.719850420064,71,-10.574256574603874,4.052396359466582,-9.12744140625,-0.753904085936884,-673488.8744244222,-37416.04857913456,-0.6408184730463513,1.2771,63383.55,0.0603,0.0452,0.0754,2993.11,ASTER_20180301,37.4
CL108130003,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,26694.98577870872,27290.35629647517,26992.671037591943,23,-11.41255519701087,10.044948742644124,-14.148193359375,-0.6270385152955957,-304657.99868293345,-16925.44437127408,-0.5329827380012564,1.7317,46744.29,0.0818,0.0376,0.09,2207.37,ASTER_20180301,37.4
CL108130007,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,136535.91887611424,63701.17214433337,100118.5455102238,119,-8.555932822347689,12.046922438352173,-10.94677734375,-0.6482271945101625,-1168192.1497415472,-64899.5638745304,-0.5509931153336382,0.8992,90024.96,0.0425,0.0389,0.0576,4251.18,ASTER_20180301,37.4
CL108130006,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,12642.261876412545,7250.113350581604,9946.187613497075,12,-12.146728515625,3.588998874315681,-11.1448974609375,-0.857738600755897,-153562.1228362191,-8531.229046456616,-0.7290778106425124,2.8528,28374.88,0.1347,0.0515,0.1442,1339.92,ASTER_20180301,37.4
CL108130005,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,19974.23058860466,10225.822899689665,15100.026744147162,18,-11.358072916666666,3.908217602563762,-12.1754150390625,-0.834688615397544,-226868.76747968546,-12603.82041553808,-0.7094853230879123,2.3154,34961.86,0.1093,0.0501,0.1203,1650.98,ASTER_20180301,37.4
CL108130004,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,14844.72917876013,7709.606672793749,11277.16792577694,16,-8.287765502929688,3.468866827130177,-8.5479736328125,-0.6060900869093664,-123029.63438806195,-6834.979688225664,-0.5151765738729615,2.6792,30213.82,0.1265,0.0364,0.1316,1426.76,ASTER_20180301,37.4
CL108100005,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,26041.33993567226,0.0,13020.66996783613,28,-1.3681466238839286,7.9426066861094045,-1.399169921875,-0.15201629154265872,-35628.371314403725,-1979.353961911318,-0.1292138478112599,2.4934,32465.52,0.1177,0.0091,0.1181,1533.09,ASTER_20180301,37.4
CL108100006,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,69821.42677698063,11691.4692632816,40756.448020131116,77,-10.724641081574676,6.857875237769181,-10.504150390625,-1.020710666467494,-748809.7419865646,-41600.54122147581,-0.86760406649737,1.4093,57438.6,0.0666,0.0612,0.0904,2712.38,ASTER_20180301,37.4
CL108101047,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,13255.754918359344,0.0,6627.877459179672,10,-7.0528076171875,2.882319371605335,-7.824462890625,-0.7836452907986111,-93490.28925977544,-5193.904958876414,-0.6660984971788194,3.4948,23162.9,0.165,0.047,0.1716,1093.8,ASTER_20180301,37.4
CL108101046,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,12340.844277467144,0.0,6170.422138733572,11,-4.480424360795454,8.000533460594465,-3.465087890625,-0.4978249289772727,-55292.219333546964,-3071.7899629748313,-0.42315118963068177,3.622,22349.26,0.171,0.0299,0.1736,1055.38,ASTER_20180301,37.4
CL108130002,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,49022.9203716103,0.0,24511.46018580515,51,-9.354477826286764,7.766566229767862,-7.884033203125,-1.0393864251429739,-458583.8215960503,-25476.87897755835,-0.8834784613715277,1.8173,44544.11,0.0858,0.0624,0.1061,2103.47,ASTER_20180301,37.4
CL108130001,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,19314.826235377994,0.0,9657.413117688997,21,-2.3033854166666665,6.591591947120684,-1.659423828125,-0.25593171296296297,-44489.4890760204,-2471.638282001133,-0.2175419560185185,2.8952,27959.93,0.1367,0.0154,0.1376,1320.33,ASTER_20180301,37.4
CL108101050,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,29941.252559608027,23749.39846280247,26845.32551120525,36,-4.868252224392361,7.98394827069468,-4.8319091796875,-0.3016489765365178,-145761.56937440523,-8097.864965244735,-0.2564016300560401,1.7365,46616.54,0.082,0.0181,0.084,2201.34,ASTER_20180301,37.4
CL108105002,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,29694.91054588282,23535.83946909417,26615.375007488496,32,1.0863265991210938,12.72973332059414,1.111572265625,0.06733445356185158,32258.371184513984,1792.1317324729991,0.05723428552757384,1.744,46416.45,0.0824,0.004,0.0825,2191.89,ASTER_20180301,37.4
CL108101048,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,827653.8625303145,290334.30766620673,558994.0850982605,854,-14.089746551156324,9.242320324415715,-14.0213623046875,-1.158970040611019,-11661433.155137708,-647857.3975076504,-0.9851245345193662,0.3805,212720.46,0.018,0.0695,0.0718,10045.13,ASTER_20180301,37.4
CL108116003,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,26466.280941614546,36772.03853463371,31619.15973812413,29,-4.687592605064655,8.91069804669755,-3.437744140625,-0.21798165671452654,-124063.14282547595,-6892.396823637553,-0.18528440820734757,1.6,50591.88,0.0756,0.0131,0.0767,2389.06,ASTER_20180301,37.4
CL108116002,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,13866.03001181834,12179.645134956761,13022.837573387551,15,-2.970719401041667,4.224660723103693,-2.818603515625,-0.17572584460612686,-41192.08437153476,-2288.449131751931,-0.14936696791520784,2.4932,32468.22,0.1177,0.0105,0.1182,1533.22,ASTER_20180301,37.4
CL108116001,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,18554.6117623248,11765.91181544425,15160.261788884523,22,-15.240178888494318,4.870772059994004,-16.1917724609375,-1.0362456738038994,-282775.60246439074,-15709.755692466153,-0.8808088227333145,2.3107,35031.52,0.1091,0.0622,0.1256,1654.27,ASTER_20180301,37.4
CL108116005,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,15456.35357608546,20182.859550357967,17819.606563221714,18,-8.291015625,4.991351643186641,-8.033935546875,-0.3995251851449044,-128148.86900484917,-7119.38161138051,-0.33959640737316876,2.1314,37979.98,0.1006,0.024,0.1035,1793.5,ASTER_20180301,37.4
CL108116006,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,20412.057947138117,21884.45546478374,21148.25670596093,24,-8.63232421875,5.472448977226298,-9.513916015625,-0.4628789781627285,-176203.50217160876,-9789.083453978265,-0.3934471314383192,1.9564,41375.47,0.0924,0.0278,0.0965,1953.84,ASTER_20180301,37.4
CL108116004,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,762991.5630893274,684260.3079776622,723625.9355334948,830,-10.036456372364459,11.103347543698556,-9.97216796875,-0.5879136012895423,-7657731.535428199,-425429.5297460111,-0.4997265610961109,0.3345,242026.39,0.0158,0.0353,0.0386,11429.02,ASTER_20180301,37.4
CL108101049,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,178776.33561684683,40439.3738689701,109607.85474290847,171,-9.725707293951023,10.77002520347698,-9.013427734375,-0.881286349501181,-1738726.3112946034,-96595.90618303353,-0.7490933970760039,0.8594,94194.71,0.0406,0.0529,0.0667,4448.08,ASTER_20180301,37.4
CL108105003,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,181142.5192812589,175467.09766120606,178304.80847123248,200,-10.020899658203126,5.552707188413781,-11.043701171875,-0.5655767612261078,-1815211.0095516203,-100845.05608620113,-0.4807402470421916,0.6738,120139.88,0.0318,0.0339,0.0465,5673.27,ASTER_20180301,37.4
CL108130009,ASTER_20180301_minus_SRTM_2000,2000,2018,18,2000,2019,2000,64654.07579294992,110672.753063058,87663.41442800396,49,-11.29962531887755,6.895082302850423,-10.447998046875,-0.4629872846712934,-730566.8317986451,-40587.046211035835,-0.3935391919705994,0.9609,84239.32,0.0454,0.0278,0.0532,3977.97,ASTER_20180301,37.4
CL108130010,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,138752.79237099385,75095.29771568626,106924.04504334005,149,4.434000104865772,11.117186054651624,4.34375,0.8219852241494434,615229.8959234054,87889.98513191506,0.6986874405270269,0.8701,93034.36,0.1057,0.0493,0.1166,11297.03,ASTER_20180301,37.4
CL108100003,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,24626.305990230423,31395.700639329196,28011.00331477981,28,-7.774483816964286,5.921929686968952,-8.6859130859375,-0.97643678114183,-191456.81739265707,-27350.973913236725,-0.8299712639705554,1.7,47617.87,0.2064,0.0586,0.2146,5782.17,ASTER_20180301,37.4
CL108100002,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,22703.88255318053,25801.593847761767,24252.738200471147,29,-15.127449824892242,9.31201872842972,-12.597412109375,-2.0230519440411223,-343451.84415348485,-49064.54916478355,-1.7195941524349538,1.8269,44308.4,0.2218,0.1214,0.2529,5380.31,ASTER_20180301,37.4
CL108100004,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,90476.6676198803,51295.81733083308,70886.24247535669,90,-1.9170464409722223,9.364421198369394,-3.119873046875,-0.3495499420618822,-173447.97365171823,-24778.281950245462,-0.2971174507525999,1.0686,75750.7,0.1298,0.021,0.1314,9198.3,ASTER_20180301,37.4
CL108130008,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,63691.36871919074,35568.0709816494,49629.719850420064,71,3.0949260013204225,4.187108017361722,2.82470703125,0.5674021640455226,197120.07310870962,28160.010444101375,0.4822918394386942,1.2771,63383.55,0.1551,0.034,0.1588,7696.57,ASTER_20180301,37.4
CL108130003,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,26694.98577870872,27290.35629647517,26992.671037591943,23,0.5245095957880435,8.409736184400524,1.572265625,0.07410358686336004,14001.77620035808,2000.253742908297,0.06298804883385603,1.7317,46744.29,0.2103,0.0044,0.2103,5676.09,ASTER_20180301,37.4
CL108130007,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,136535.91887611424,63701.17214433337,100118.5455102238,119,-2.0147797400210083,13.5906060922847,-1.279541015625,-0.39252011807579157,-275089.8031367469,-39298.54330524956,-0.3336421003644228,0.8992,90024.96,0.1092,0.0236,0.1117,10931.6,ASTER_20180301,37.4
CL108130006,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,12642.261876412545,7250.113350581604,9946.187613497075,12,9.4268798828125,4.6016894437964115,9.1646728515625,1.7117410608128938,119177.08415600083,17025.297736571545,1.4549799016909597,2.8528,28374.88,0.3464,0.1027,0.3613,3445.52,ASTER_20180301,37.4
CL108130005,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,19974.23058860466,10225.822899689665,15100.026744147162,18,5.627332899305555,5.362943509292209,3.8125,1.0634006230025645,112401.64492957036,16057.377847081481,0.9038905295521799,2.3154,34961.86,0.2811,0.0638,0.2883,4245.37,ASTER_20180301,37.4
CL108130004,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,14844.72917876013,7709.606672793749,11277.16792577694,16,7.253570556640625,4.4278513585207255,7.131591796875,1.3640366244060471,107677.29049235844,15382.47007033692,1.15943113074514,2.6792,30213.82,0.3253,0.0818,0.3355,3668.82,ASTER_20180301,37.4
CL108100005,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,26041.33993567226,0.0,13020.66996783613,28,7.030691964285714,9.08749294938905,7.2835693359375,2.0087691326530615,183088.63942496362,26155.519917851947,1.707453762755102,2.4934,32465.52,0.3028,0.1205,0.3259,3942.24,ASTER_20180301,37.4
CL108100006,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,69821.42677698063,11691.4692632816,40756.448020131116,77,7.548428622159091,7.169991531517557,6.274169921875,1.8473573137363974,527042.0563233458,75291.72233190654,1.5702537166759378,1.4093,57438.6,0.1711,0.1108,0.2039,6974.69,ASTER_20180301,37.4
CL108101047,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,13255.754918359344,0.0,6627.877459179672,10,31.7216064453125,15.224834430217902,36.4664306640625,9.063316127232143,420493.8406557106,60070.548665101516,7.703818708147321,3.4948,23162.9,0.4244,0.5438,0.6898,2812.64,ASTER_20180301,37.4
CL108101046,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,12340.844277467144,0.0,6170.422138733572,11,24.19173916903409,10.24218522841391,20.74560546875,6.911925476866884,298546.48588615214,42649.49798373602,5.875136655336851,3.622,22349.26,0.4398,0.4147,0.6045,2713.84,ASTER_20180301,37.4
CL108130002,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,49022.9203716103,0.0,24511.46018580515,51,-2.730392156862745,12.18901939352253,-5.443603515625,-0.7801120448179273,-133851.79728915167,-19121.685327021667,-0.6630952380952382,1.8173,44544.11,0.2207,0.0468,0.2256,5408.93,ASTER_20180301,37.4
CL108130001,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,19314.826235377994,0.0,9657.413117688997,21,1.8009905133928572,7.803960611411908,2.19580078125,0.5145687181122449,34785.81881774724,4969.4026882496055,0.4373834103954082,2.8952,27959.93,0.3516,0.0309,0.3529,3395.13,ASTER_20180301,37.4
CL108101050,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,29941.252559608027,23749.39846280247,26845.32551120525,36,4.227939181857639,4.686985040265554,4.8936767578125,0.6736463821118156,126589.7948506621,18084.256407237444,0.5725994247950432,1.7365,46616.54,0.2109,0.0404,0.2147,5660.58,ASTER_20180301,37.4
CL108105002,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,29694.91054588282,23535.83946909417,26615.375007488496,32,1.0619888305664062,7.810290335820241,2.65234375,0.1692666272543771,31535.66332439614,4505.09476062802,0.14387663316622054,1.744,46416.45,0.2118,0.0102,0.212,5636.28,ASTER_20180301,37.4
CL108101048,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,827653.8625303145,290334.30766620673,558994.0850982605,854,-4.400087879189842,9.661944752684338,-3.9219970703125,-0.9306895638245674,-3641749.728684292,-520249.9612406132,-0.7910861292508823,0.3805,212720.46,0.0462,0.0558,0.0725,25830.34,ASTER_20180301,37.4
CL108116003,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,26466.280941614546,36772.03853463371,31619.15973812413,29,-4.651964911099138,16.71183308330712,1.087890625,-0.5562640377696291,-123120.21026768272,-17588.60146681182,-0.4728244321041847,1.6,50591.88,0.1943,0.0334,0.1971,6143.3,ASTER_20180301,37.4
CL108116002,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,13866.03001181834,12179.645134956761,13022.837573387551,15,4.670540364583333,2.830480504208233,5.490966796875,0.7104206909238069,64761.85286672147,9251.693266674496,0.6038575872852359,2.4932,32468.22,0.3027,0.0426,0.3057,3942.57,ASTER_20180301,37.4
CL108116001,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,18554.6117623248,11765.91181544425,15160.261788884523,22,6.535289417613637,10.520422492503528,1.38916015625,1.1426466638982469,121259.75789825077,17322.822556892967,0.9712496643135098,2.3107,35031.52,0.2806,0.0686,0.2888,4253.83,ASTER_20180301,37.4
CL108116005,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,15456.35357608546,20182.859550357967,17819.606563221714,18,6.151462131076389,4.888380745772396,5.482177734375,0.7622356337064371,95079.17370781682,13582.73910111669,0.6479002886504716,2.1314,37979.98,0.2588,0.0457,0.2628,4611.85,ASTER_20180301,37.4
CL108116006,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,20412.057947138117,21884.45546478374,21148.25670596093,24,7.575724283854167,6.027123426672571,6.84716796875,1.0445719016910495,154636.12307357267,22090.874724796096,0.887886116437392,1.9564,41375.47,0.2376,0.0627,0.2457,5024.16,ASTER_20180301,37.4
CL108116004,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,762991.5630893274,684260.3079776622,723625.9355334948,830,-10.10970797251506,13.35647906753776,-10.7330322265625,-1.5228116212199405,-7713621.888325902,-1101945.9840465575,-1.2943898780369494,0.3345,242026.39,0.0406,0.0914,0.1,29388.92,ASTER_20180301,37.4
CL108101049,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,178776.33561684683,40439.3738689701,109607.85474290847,171,-8.945092630665204,12.586418515786264,-6.781005859375,-2.0842756544808023,-1599170.882263586,-228452.98318051227,-1.771634306308682,0.8594,94194.71,0.1044,0.1251,0.1629,11437.93,ASTER_20180301,37.4
CL108105003,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,181142.5192812589,175467.09766120606,178304.80847123248,200,4.1075634765625,5.0603651104867575,4.149658203125,0.5961335877043243,744054.3962522176,106293.48517888822,0.5067135495486756,0.6738,120139.88,0.0818,0.0358,0.0893,14588.41,ASTER_20180301,37.4
CL108130009,Pleiades_2025_minus_ASTER_20180301,2018,2025,7,2000,2019,2000,64654.07579294992,110672.753063058,87663.41442800396,49,-4.725570990114796,7.898335586871417,-6.62548828125,-0.49789042873877626,-305527.4249598474,-43646.77499426391,-0.4232068644279598,0.9609,84239.32,0.1167,0.0299,0.1204,10229.06,ASTER_20180301,37.4
CL108130010,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,138752.79237099385,75095.29771568626,106924.04504334005,0,,,,,,,,11.1839,1195830.98,1.5844,0.0,1.5844,169409.39,CerroBlanco_2024,505.4
CL108100003,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,24626.305990230423,31395.700639329196,28011.00331477981,0,,,,,,,,11.1839,313273.08,1.5844,0.0,1.5844,44380.35,CerroBlanco_2024,505.4
