COD_GLA,epoch,t_start,t_end,dt_yr,clip_outline,end_outline,outline_set,area_start_m2,area_end_m2,area_mean_m2,count,mean,std,median,dh_yr_m,dV_m3,dV_yr_m3,mb_mwe_yr,sigma_dh_m,sigma_dV_m3,sigma_mb_elev_mwe_yr,sigma_mb_density_mwe_yr,sigma_mb_mwe_yr,sigma_mb_total_m3yr,uncertainty_source,corr_length_m
3_1975,LasTermas_2024_minus_IGM_1954,1954,2024,70,1975,2000,1975,1400801.9701920524,247688.5092390823,824245.2397155673,1550,-7.011294732862903,12.663478986253148,-4.7833251953125,-0.1702238779388509,-9821435.475391515,-140306.22107702165,-0.14469029624802326,16.4079,13524157.12,0.1992,0.0102,0.1995,164221.91,IGM_1954,663.7
4_1975,LasTermas_2024_minus_IGM_1954,1954,2024,70,1975,2000,1975,970171.4259494462,138752.79237099385,554462.10916022,1083,-12.424893957756233,12.42353873962447,-10.912353515625,-0.3105784066374384,-12054277.08826702,-172203.95840381458,-0.26399164564182265,17.9089,9929832.56,0.2175,0.0186,0.2183,120576.54,IGM_1954,663.7
5_1975,LasTermas_2024_minus_IGM_1954,1954,2024,70,1975,2000,1975,1018224.1032191605,22703.88255318053,520463.9928861705,277,6.811703237815885,8.102501592379083,6.822998046875,0.19037519585603008,6935840.420720131,99083.43458171615,0.16181891647762556,17.9089,9320962.1,0.2175,0.0114,0.2178,113183.11,IGM_1954,663.7
6_1975,LasTermas_2024_minus_IGM_1954,1954,2024,70,1975,2000,1975,1605494.7728103418,276590.1093213096,941042.4410658258,456,18.476995100054825,28.37366855336389,12.1300048828125,0.4503321871856738,29664719.05038032,423781.7007197188,0.3827823591078227,15.356,14450623.6,0.1865,0.027,0.1884,175471.86,IGM_1954,663.7
0_1975,Pleiades_2025_minus_IGM_1954,1954,2025,71,1975,2000+2019,1975,287361.7147524999,0.0,143680.85737624994,174,-6.068202227011494,5.193793419617639,-5.5865478515625,-0.1709352740003238,-1743768.9974189617,-24560.126724210728,-0.14529498290027523,17.9089,2573172.87,0.2144,0.0103,0.2146,30805.59,IGM_1954,663.7
1_1975,Pleiades_2025_minus_IGM_1954,1954,2025,71,1975,2000+2019,1975,8459217.55941218,1720385.7027703421,5089801.631091261,9328,-21.77713939215266,18.14750623688644,-19.749755859375,-0.5097671202803815,-184217559.93986446,-2594613.520279781,-0.4333020522383243,6.6029,33607206.31,0.079,0.0306,0.0848,402339.79,IGM_1954,663.7
2_1975,Pleiades_2025_minus_IGM_1954,1954,2025,71,1975,2000+2019,1975,2279471.3537691287,34168.87330349415,1156820.1135363113,2534,-28.551345451854775,21.867100191328653,-28.197021484375,-0.7923855328703163,-65081974.06906946,-916647.5220995699,-0.6735277029397688,13.85,16021932.56,0.1658,0.0475,0.1725,191811.87,IGM_1954,663.7
3_1975,Pleiades_2025_minus_IGM_1954,1954,2025,71,1975,2000+2019,1975,1400801.9701920524,186071.64764406506,793436.8089180588,1550,-3.799524634576613,12.71521636450549,-1.7542724609375,-0.09447900601332158,-5322381.593908157,-74963.12104095996,-0.08030715511132334,16.7234,13268998.83,0.2002,0.0057,0.2003,158854.21,IGM_1954,663.7
4_1975,Pleiades_2025_minus_IGM_1954,1954,2025,71,1975,2000+2019,1975,970171.4259494462,106924.04504334005,538547.735496393,1083,-13.057558575715605,12.685921115272393,-11.875732421875,-0.33130493827184876,-12668070.222820427,-178423.52426507644,-0.28160919753107144,17.9089,9644822.89,0.2144,0.0199,0.2153,115466.19,IGM_1954,663.7
5_1975,Pleiades_2025_minus_IGM_1954,1954,2025,71,1975,2000+2019,1975,1018224.1032191605,24252.738200471147,521238.4207098158,1088,4.365114997414982,11.183295203909374,6.327392578125,0.12010035577395076,4444665.303691378,62600.919770301094,0.10208530240785814,17.9089,9334831.28,0.2144,0.0072,0.2145,111755.02,IGM_1954,663.7
