COD_GLA,Slp_MIN,Slp_MAX,Slp_MEAN,Asp_MIN,Asp_MAX,Asp_MEAN
CL108130010,12.462006568908691,34.91559600830078,28.002232601768092,130.1998291015625,212.10960388183594,175.53024773848685
CL108100003,5.37318754196167,25.44213104248047,10.884017944335938,35.48017883300781,236.08511352539062,143.1438249860491
CL108100002,16.668601989746094,30.167362213134766,21.66546841325431,103.56396484375,131.456298828125,118.95941372575432
CL108100004,6.528733253479004,37.041404724121094,24.302554232402912,2.7516260147094727,338.6944580078125,105.65179384101941
CL108130008,10.277872085571289,33.9447135925293,23.837041290713028,210.28857421875,280.4167785644531,228.47016670334506
CL108130003,19.918554306030273,32.751590728759766,26.195531845092773,247.6634063720703,282.3768615722656,262.1844482421875
CL108130007,10.80239200592041,33.507816314697266,21.416267849751655,144.59494018554688,247.19505310058594,211.44563586506624
CL108130006,10.797189712524414,17.075071334838867,13.654406229654947,130.1895294189453,191.3756103515625,160.45551554361978
CL108130005,11.326577186584473,27.203311920166016,21.535275413876487,200.6901092529297,255.01210021972656,227.04192243303572
CL108130004,10.873046875,21.318857192993164,17.706680297851562,218.3892059326172,247.644775390625,229.95059204101562
CL108100005,17.127962112426758,29.50748062133789,23.549185616629465,88.07894897460938,131.0609893798828,111.09586007254464
CL108100006,8.766802787780762,31.744327545166016,20.359194272524352,11.450132369995117,119.17314910888672,72.58379413555195
CL108101047,15.222851753234863,21.115114212036133,18.564002990722656,17.56985092163086,42.85509490966797,34.02882385253906
CL108101046,16.146371841430664,35.53670883178711,26.14013671875,34.49431610107422,71.1321792602539,58.113516671316965
CL108130002,5.792877674102783,29.24976348876953,17.009712085389253,134.06390380859375,251.8909149169922,180.34546326754386
CL108130001,13.083181381225586,26.717853546142578,19.80768883746603,152.44778442382812,246.23431396484375,183.6966711956522
CL108101050,12.526504516601562,36.95976638793945,24.258670383029514,39.23685836791992,82.03582763671875,63.176717122395836
CL108105002,18.366592407226562,41.525489807128906,31.373794555664062,1.3372340202331543,358.7093505859375,92.25891876220703
CL108101048,1.169812798500061,45.92783737182617,22.216040278155603,3.8738183975219727,356.1408386230469,91.21392138193688
CL108116003,18.406408309936523,33.09382247924805,25.29859871699892,235.84860229492188,290.9230041503906,252.34738685344828
CL108116002,18.76974868774414,28.810876846313477,23.638618977864585,256.33209228515625,303.8943786621094,276.58522135416666
CL108116001,2.669266700744629,25.911861419677734,13.635638150301846,14.144611358642578,355.7559509277344,124.9098788174716
CL108116005,24.734302520751953,34.995018005371094,32.174235026041664,184.73150634765625,232.61265563964844,208.81949869791666
CL108116006,16.142847061157227,36.19017028808594,25.748977661132812,194.82969665527344,253.82125854492188,214.2821044921875
CL108116004,4.391645908355713,47.59246826171875,23.80447434756821,144.7084197998047,253.06915283203125,202.57899614472123
CL108101049,19.232362747192383,44.50991439819336,31.128131904987374,39.186458587646484,94.79228973388672,74.41015625
CL108105003,0.6446565985679626,34.301639556884766,12.210771484375,1.682276725769043,358.9879150390625,95.3132421875
CL108130009,11.627641677856445,32.099525451660156,21.762025669642856,146.7036895751953,249.32070922851562,183.94437779017858
