COD_GLA,Slp_MIN,Slp_MAX,Slp_MEAN,Asp_MIN,Asp_MAX,Asp_MEAN
CL108130010,19.476985931396484,34.94277572631836,29.726703689759034,130.1998291015625,194.16148376464844,171.18799416415663
CL108100004,6.528733253479004,36.45883560180664,21.306099446614585,2.7516260147094727,338.6944580078125,109.815478515625
CL108116004,1.2059262990951538,44.200557708740234,24.720610608552633,53.81059646606445,253.06915283203125,200.521484375
CL108105003A,1.693634033203125,19.985271453857422,10.814323304191468,2.0629963874816895,356.8951416015625,61.56897941468254
CL108130009,7.641125202178955,34.86879348754883,21.93940671810434,146.7036895751953,285.32891845703125,197.30158832644628
CL108101048B,1.779367446899414,21.429786682128906,9.66050244941086,9.142601013183594,350.4976501464844,72.09515080686475
CL108105003B,0.6446565985679626,34.301639556884766,14.444576322115385,1.682276725769043,358.9879150390625,88.9070087139423
CL108130007,13.51506519317627,33.507816314697266,22.424726698133682,150.8206024169922,231.13352966308594,202.06038411458334
CL108101048A,4.799544811248779,39.3995361328125,24.373056839923468,28.074024200439453,180.2118682861328,88.69781701743197
CL108100003,3.9813878536224365,25.44213104248047,10.622251674107142,11.400335311889648,296.1733093261719,153.3099330357143
CL108100002,14.600035667419434,34.08800506591797,22.503129630253234,106.31065368652344,132.97560119628906,121.84799299568965
CL108130008,11.991581916809082,33.9447135925293,23.90860595703125,212.6620330810547,251.83517456054688,225.28056640625
CL108130003,13.257537841796875,32.751590728759766,22.128173828125,253.95458984375,299.70196533203125,269.02698206018516
CL108130006,10.797189712524414,17.075071334838867,13.74264907836914,130.1895294189453,191.3756103515625,160.79714965820312
CL108130005,11.326577186584473,27.203311920166016,20.77825927734375,207.6431884765625,251.6697540283203,225.84342447916666
CL108130004,9.970091819763184,20.9547061920166,17.009928385416668,218.60662841796875,235.60939025878906,227.85731336805554
CL108100006A,15.43950366973877,23.02658462524414,17.156953811645508,56.132816314697266,90.08438873291016,75.0841293334961
CL108101050,18.567689895629883,36.95976638793945,27.46911151592548,39.23685836791992,80.9521255493164,64.88185471754808
CL108105002,18.82354164123535,41.525489807128906,31.240827287946427,2.9138739109039307,358.7093505859375,78.59688023158482
CL108101048C,17.65913963317871,35.61661911010742,25.98211451939174,71.90518188476562,126.57682800292969,101.54698835100446
CL108116003,19.108736038208008,36.39616775512695,27.971733279344512,232.9393768310547,280.7813720703125,248.83205506859755
CL108116002,21.366456985473633,28.25876808166504,24.92760467529297,258.0633544921875,293.7696838378906,279.3218994140625
CL108116001,2.669266700744629,33.01434326171875,17.49343000139509,38.18390655517578,257.74542236328125,179.32195172991072
CL108116005,20.139850616455078,36.59701919555664,31.599028214164402,183.37811279296875,234.10707092285156,207.70754076086956
CL108116006,4.08593225479126,42.799190521240234,27.40443359375,170.718017578125,243.19378662109375,211.8903125
CL108101049,22.17899513244629,43.61442184448242,33.34518887134308,68.50933074951172,104.27027893066406,83.82372527426861
CL108100006B,14.58745288848877,21.52728843688965,19.194360733032227,67.46195220947266,98.24256134033203,86.181640625
CL108116007,0.11570268869400024,33.71155548095703,11.354587488007127,10.016873359680176,354.0066223144531,199.96618009868422
