glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100003,-10.926636,3.3342803,20,1.333340159058571,224.44784574508668,138.7
CL108100004,-21.078197,11.994268,47,1.853393591464834,179.02022173049602,136.48936170212767
CL108130003,-15.182861,4.935,13,-9999.0,-9999.0,3.3999999521443642e+38
CL108130004,-1.8197021,2.3273673,8,-9999.0,-9999.0,3.3999999521443642e+38
CL108130005,-9.159158,4.1118555,11,-9999.0,-9999.0,3.3999999521443642e+38
CL108130006,-3.5123117,1.9821564,7,-9999.0,-9999.0,3.3999999521443642e+38
CL108130007,-12.516879,6.9647927,66,-9999.0,-9999.0,3.3999999521443642e+38
CL108130008,-8.125977,4.3295445,38,-9999.0,-9999.0,3.3999999521443642e+38
CL108130009,-20.947596,8.386076,69,1.9361861564111018,166.15771937715834,134.66666666666666
CL108130010,1.9539241,4.4859505,77,1.4076440388506108,181.98589270455497,138.7922077922078
