glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100003@,-17.585815,4.8136754,20,1.333340159058571,224.44784574508668,138.7
CL108100004@,-17.60919,22.491812,45,1.8883707483609518,173.35673664940728,136.33333333333334
CL108130003@,-5.7350698,4.5914474,13,-9999.0,-9999.0,3.3999999521443642e+38
CL108130004@,0.68585205,6.2533674,8,-9999.0,-9999.0,3.3999999521443642e+38
CL108130005@,-3.3791504,9.950484,11,-9999.0,-9999.0,3.3999999521443642e+38
CL108130006@,0.9929199,6.231301,7,-9999.0,-9999.0,3.3999999521443642e+38
CL108130007@,-13.671864,13.806738,66,-9999.0,-9999.0,3.3999999521443642e+38
CL108130008@,-9.22245,6.7838006,38,-9999.0,-9999.0,3.3999999521443642e+38
CL108130009@,-38.177105,23.050282,71,1.8559130858367598,177.84022898069568,134.81690140845072
CL108130010@,-6.5839148,14.535472,77,1.5117635858523382,184.4358531902363,138.66233766233765
