glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100003,-16.3578,6.640838,22,1.4442122985016217,211.53189979900014,138.72727272727272
CL108100004,-0.730625,24.158464,100,1.759315196275711,171.52927395820618,136.25
CL108130003,-1.2993698,5.4316936,32,-9999.0,-9999.0,3.3999999521443642e+38
CL108130004,1.0148247,7.0362945,18,-9999.0,-9999.0,3.3999999521443642e+38
CL108130005,-3.5105445,8.650721,21,-9999.0,-9999.0,3.3999999521443642e+38
CL108130006,0.5584717,7.161048,12,-9999.0,-9999.0,3.3999999521443642e+38
CL108130007,-15.44627,16.084185,150,-9999.0,-9999.0,3.3999999521443642e+38
CL108130008,-4.0757985,11.607314,70,-9570.447316582713,-9560.185714285713,3.2542856684810345e+38
CL108130009,-38.384125,21.114328,73,1.8643387172320118,166.0472285649548,134.56164383561645
CL108130010,-6.3317757,15.521631,151,1.2550474594760415,194.88458431319685,138.6291390728477
