glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100003@,-9.124682,4.123104,30,1.3235836346944174,228.761877822876,138.9
CL108100004@,-19.391056,12.221573,56,2.0385086589625905,182.5246698175158,136.17857142857142
CL108130003@,-10.363053,5.3626165,31,-9999.0,-9999.0,3.3999999521443642e+38
CL108130004@,-2.05759,2.2910423,9,-9999.0,-9999.0,3.3999999521443642e+38
CL108130005@,-8.8341875,4.07892,12,-9999.0,-9999.0,3.3999999521443642e+38
CL108130006@,-3.4859314,1.8366364,8,-9999.0,-9999.0,3.3999999521443642e+38
CL108130007@,-12.454541,7.198153,70,-9999.0,-9999.0,3.3999999521443642e+38
CL108130008@,-8.125977,4.3295445,38,-9999.0,-9999.0,3.3999999521443642e+38
CL108130009@,-14.749347,11.219435,123,1.7568994353457195,167.78269719689843,135.1869918699187
CL108130010@,1.85606,4.697711,83,1.5131191726190498,183.493366884898,138.6987951807229
