glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100003@,-10.926636,3.3342803,20,1.333340159058571,224.44784574508668,138.7
CL108100004@,-22.402094,11.348776,45,1.8883707483609518,173.35673664940728,136.33333333333334
CL108130003@,-15.182861,4.935,13,-9999.0,-9999.0,3.3999999521443642e+38
CL108130004@,-1.8197021,2.3273673,8,-9999.0,-9999.0,3.3999999521443642e+38
CL108130005@,-9.159158,4.1118555,11,-9999.0,-9999.0,3.3999999521443642e+38
CL108130006@,-3.5123117,1.9821564,7,-9999.0,-9999.0,3.3999999521443642e+38
CL108130007@,-12.516879,6.9647927,66,-9999.0,-9999.0,3.3999999521443642e+38
CL108130008@,-8.125977,4.3295445,38,-9999.0,-9999.0,3.3999999521443642e+38
CL108130009@,-20.112185,8.935436,71,1.8559130858367598,177.84022898069568,134.81690140845072
CL108130010@,1.9539241,4.4859505,77,1.5117635858523382,184.4358531902363,138.66233766233765
