glacier_id,dH,slope,aspect,elevation
CL108130010,5.5200195,1.39176344871521,210.96376037597656,140.0
CL108130010,7.097412,1.2171181440353394,258.6900634765625,138.0
CL108130010,1.5266113,1.0127503871917725,225.0,139.0
CL108130010,-1.8361816,0.754894495010376,161.56504821777344,139.0
CL108130010,6.8137207,1.8175220489501953,336.8014221191406,139.0
CL108130010,0.2277832,0.9548412561416626,0.0,139.0
CL108130010,-1.7470703,0.3376147150993347,45.0,139.0
CL108130010,0.546875,0.0,270.0,139.0
CL108130010,2.0759277,0.9548412561416626,0.0,140.0
CL108130010,-2.150879,0.754894495010376,71.56504821777344,140.0
CL108130010,2.1154785,0.754894495010376,108.43495178222656,139.0
CL108130010,2.677246,0.4774537682533264,180.0,139.0
CL108130010,-1.2255859,0.754894495010376,251.56504821777344,139.0
CL108130010,2.5878906,0.754894495010376,198.43495178222656,140.0
CL108130010,-4.7773438,0.754894495010376,161.56504821777344,140.0
CL108130010,-3.9128418,0.4774537682533264,90.0,139.0
CL108130010,2.9389648,1.067520260810852,63.4349479675293,139.0
CL108130010,3.6157227,0.3376147150993347,45.0,138.0
CL108130010,-0.5703125,1.2171181440353394,281.3099365234375,139.0
CL108130010,2.420166,1.6876049041748047,188.13009643554688,139.0
CL108130010,-2.0905762,1.067520260810852,243.43495178222656,139.0
CL108130010,-0.9667969,1.39176344871521,329.0362548828125,140.0
CL108130010,0.20092773,2.2636361122131348,18.434947967529297,140.0
CL108130010,1.9780273,2.1342999935150146,26.565052032470703,139.0
CL108130010,-0.019042969,1.0127503871917725,315.0,139.0
CL108130010,-2.402832,1.432096242904663,270.0,140.0
CL108130010,6.163574,1.8175220489501953,203.19859313964844,138.0
CL108130010,1.3183594,1.721006155014038,213.6900634765625,138.0
CL108130010,0.9069824,2.635026454925537,264.8055725097656,139.0
CL108130010,1.6025391,2.1342999935150146,296.5650634765625,141.0
CL108130010,-2.168457,1.6876049041748047,8.130102157592773,141.0
CL108130010,0.9003906,2.3619914054870605,45.0,141.0
CL108130010,0.53344727,1.0127503871917725,45.0,139.0
CL108130010,-1.3820801,1.067520260810852,243.43495178222656,140.0
CL108130010,1.8520508,1.0127503871917725,225.0,137.0
CL108130010,0.3959961,1.9091523885726929,270.0,137.0
CL108130010,2.3571777,3.109632968902588,274.3987121582031,139.0
CL108130010,3.4885254,1.9678637981414795,255.96376037597656,141.0
CL108130010,1.3588867,1.2171181440353394,168.6900634765625,142.0
CL108130010,3.7341309,2.0527751445770264,125.53768157958984,141.0
CL108130010,2.4592285,1.39176344871521,120.96375274658203,140.0
CL108130010,-1.4345703,0.6752060055732727,225.0,139.0
CL108130010,3.7365723,0.754894495010376,288.4349365234375,136.0
CL108130010,0.48120117,1.2171181440353394,281.3099365234375,137.0
CL108130010,0.17382812,2.433138847351074,281.3099365234375,138.0
CL108130010,2.743164,2.1607890129089355,263.6598205566406,140.0
CL108130010,4.42041,1.9678637981414795,194.03623962402344,140.0
CL108130010,5.206543,2.9018216133117676,170.5376739501953,140.0
CL108130010,6.9956055,2.2636361122131348,161.56504821777344,139.0
CL108130010,4.1381836,1.067520260810852,153.43495178222656,139.0
CL108130010,1.9162598,0.754894495010376,251.56504821777344,139.0
CL108130010,2.6716309,1.5095269680023193,341.5650634765625,137.0
CL108130010,0.013671875,1.350224494934082,315.0,137.0
CL108130010,0.2277832,1.9091523885726929,270.0,138.0
CL108130010,1.3066406,1.5095269680023193,251.56504821777344,139.0
CL108130010,3.678955,0.6752060055732727,135.0,139.0
CL108130010,6.1069336,0.3376147150993347,135.0,138.0
CL108130010,8.6796875,0.6752060055732727,315.0,139.0
CL108130010,7.107666,0.754894495010376,18.434947967529297,139.0
CL108130010,5.8466797,0.754894495010376,288.4349365234375,139.0
CL108130010,1.2983398,1.6876049041748047,278.1300964355469,140.0
CL108130010,3.2937012,1.067520260810852,333.4349365234375,138.0
CL108130010,0.20361328,0.754894495010376,341.5650634765625,138.0
CL108130010,0.011962891,1.2171181440353394,281.3099365234375,138.0
CL108130010,0.083984375,1.9678637981414795,284.0362548828125,139.0
CL108130010,1.6967773,1.432096242904663,0.0,140.0
CL108130010,5.7407227,1.6876049041748047,8.130102157592773,139.0
CL108130010,9.211914,1.067520260810852,333.4349365234375,140.0
CL108130010,7.840088,0.754894495010376,71.56504821777344,140.0
CL108130010,10.016113,0.4774537682533264,270.0,139.0
CL108130010,1.6240234,1.6876049041748047,261.8699035644531,140.0
CL108130010,5.272949,0.754894495010376,341.5650634765625,138.0
CL108130010,6.6938477,0.754894495010376,341.5650634765625,138.0
CL108130010,2.932129,1.350224494934082,315.0,138.0
CL108130010,2.3937988,2.569502830505371,291.8014221191406,139.0
CL108130010,3.6152344,1.067520260810852,333.4349365234375,141.0
CL108130010,7.7019043,1.0127503871917725,45.0,140.0
CL108130010,9.626953,0.4774537682533264,90.0,140.0
CL108130010,3.7385254,1.067520260810852,116.56504821777344,139.0
CL108130010,5.915039,0.754894495010376,251.56504821777344,139.0
CL108130010,-3.0107422,1.2171181440353394,258.6900634765625,140.0
CL108130010,-4.242676,1.350224494934082,225.0,140.0
CL108130010,7.729248,0.3376147150993347,45.0,138.0
CL108130010,7.533203,0.4774537682533264,270.0,139.0
CL108130010,7.413086,1.2171181440353394,281.3099365234375,139.0
CL108130010,4.85376,2.1607890129089355,276.3401794433594,140.0
CL108130010,6.194092,0.3376147150993347,225.0,141.0
CL108130010,9.192871,0.754894495010376,108.43495178222656,140.0
