glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100002@,-4.553868,5.498505,28,1.0788858022008623,160.0401327950614,147.17857142857142
CL108100003@,-5.35445,6.171857,35,0.9893794076783317,191.74803837367466,144.0
CL108100004@,8.526254,15.897429,56,1.3827332694615637,187.59635513169425,143.51785714285714
CL108100006A,-2.2131958,6.6088343,8,0.5889909341931343,185.62499809265137,144.0
CL108100006B,0.4090983,2.8507178,6,1.1924311916033428,206.92751121520996,144.66666666666666
CL108101048A,-6.833933,10.037151,152,1.4506332968410693,187.20764922468285,137.73026315789474
CL108101048B,-8.726648,6.873354,125,-7838.900588439941,-7805.856822357177,2.6655999624811814e+38
CL108101048C,-11.183266,6.067844,55,1.3723393873734908,176.2420737873424,139.01818181818183
CL108101049@,-9.485074,5.3644567,44,1.6018126241185449,175.53590481931514,135.5681818181818
CL108101050@,-12.960224,9.207254,26,0.9639646777739892,164.7411774121798,129.42307692307693
CL108105002@,-17.82922,11.01518,29,-4136.608050539576,-4030.6539995259254,1.406896531921806e+38
CL108105003A,-12.297732,7.1249003,127,-313.5526976346031,-118.4606726789099,1.0708661266596422e+37
CL108105003B,1.3446275,9.449043,69,-1882.8657820121102,-1742.0672934158988,6.405797011286483e+37
CL108116001@,3.1839774,15.461638,14,-9999.0,-9999.0,3.3999999521443642e+38
CL108116002@,-8.312215,5.017388,12,-9999.0,-9999.0,3.3999999521443642e+38
CL108116003@,-14.710425,7.5520477,41,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-14.547783,9.841797,759,-9999.0,-9999.0,3.3999999521443642e+38
CL108116005@,-10.701596,8.961946,23,-9999.0,-9999.0,3.3999999521443642e+38
CL108116006@,-14.062246,7.597964,25,-9999.0,-9999.0,3.3999999521443642e+38
CL108116007@,-29.913248,7.253539,111,-2070.855500441414,-1913.0378787753818,7.045044945884719e+37
CL108130003@,6.236895,6.684526,31,1.1888038150725826,155.43471185622676,143.25806451612902
CL108130004@,1.5546333,5.2328806,9,1.087901598877377,174.87140867445203,142.44444444444446
CL108130005@,5.092977,7.0530887,12,1.4406139254570007,129.3494609196981,144.08333333333334
CL108130006@,6.0875244,7.163787,8,1.1620781272649765,272.1787281036377,142.75
CL108130007@,-1.3319405,8.407379,70,1.2260702763284956,187.56776556287494,143.57142857142858
CL108130008@,-1.096474,9.516883,38,1.1504290496048175,168.40210111517655,144.60526315789474
CL108130009@,-9.364818,25.932993,123,1.1946982111388105,189.31156544569063,144.73170731707316
CL108130010@,-7.8101525,14.2753935,83,1.1165450150708118,197.75789486069277,145.79518072289156
