glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100003@,-15.629419,6.2153854,30,1.3235836346944174,228.761877822876,138.9
CL108100004@,-10.864802,25.958754,56,2.0385086589625905,182.5246698175158,136.17857142857142
CL108130003@,-4.1261578,5.0639462,31,-9999.0,-9999.0,3.3999999521443642e+38
CL108130004@,-0.5029568,6.85098,9,-9999.0,-9999.0,3.3999999521443642e+38
CL108130005@,-3.741211,9.569958,12,-9999.0,-9999.0,3.3999999521443642e+38
CL108130006@,2.601593,7.3474298,8,-9999.0,-9999.0,3.3999999521443642e+38
CL108130007@,-13.786482,14.155371,70,-9999.0,-9999.0,3.3999999521443642e+38
CL108130008@,-9.22245,6.7838006,38,-9999.0,-9999.0,3.3999999521443642e+38
CL108130009@,-24.114164,34.853455,123,1.7568994353457195,167.78269719689843,135.1869918699187
CL108130010@,-5.9540925,15.461495,83,1.5131191726190498,183.493366884898,138.6987951807229
