glacier_id,dH,slope,aspect,elevation
CL108116004@,-0.78515625,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,4.227783,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-6.1086426,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-18.83667,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-26.985352,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,6.5720215,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,7.9628906,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-0.19921875,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,0.7182617,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-12.63208,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-26.312744,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-28.73169,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,7.590088,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,2.61792,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,7.2836914,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,7.7282715,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,3.4040527,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,9.856445,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,8.781494,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-3.5700684,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-26.358643,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-30.989502,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-29.034668,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-4.4492188,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-0.9470215,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,4.704834,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,3.6953125,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,5.3476562,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,3.2001953,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,0.6081543,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-3.0908203,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-10.611084,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-20.959229,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-27.511963,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-25.30371,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,6.71167,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-0.6477051,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-2.2097168,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-1.684082,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-1.8271484,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-5.460449,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-9.664307,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-7.471924,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-7.397705,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-6.5998535,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-9.048584,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-15.873779,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-26.244629,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-28.538086,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-25.63208,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-20.446045,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,6.064453,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,8.366943,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-0.9289551,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-14.086426,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-15.28833,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-15.09082,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-16.197266,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-19.923096,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-18.834229,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-23.458008,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-13.343018,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-15.711426,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-26.214844,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-36.46216,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-42.23413,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-37.362793,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-25.225342,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-5.393799,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-7.0290527,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-6.07666,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-3.6555176,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-7.6486816,-9999.0,-9999.0,3.3999999521443642e+38
