glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100002@,-3.915625,5.840144,20,1.095169398188591,148.5220235824585,146.9
CL108100003@,-5.474772,5.150749,24,1.057115192214648,141.51818577448526,143.91666666666666
CL108100004@,4.7929034,13.9911995,45,1.2654143585099114,183.58956146240234,144.22222222222223
CL108100006A,-2.2131958,6.6088343,8,0.6464940682053566,206.7112579345703,144.5
CL108100006B,0.4090983,2.8507178,6,0.6879368523756663,157.5,145.16666666666666
CL108101048A,-6.929137,10.067027,150,1.5217417065302532,173.90225215911866,138.06666666666666
CL108101048B,-8.867687,6.837224,123,-7641.230474639714,-7605.515092648142,2.5983739471672377e+38
CL108101048C,-11.183266,6.067844,55,1.363543759692799,168.8169573697177,138.94545454545454
CL108101049@,-8.972996,4.9811416,36,1.4627534515327878,156.52247473928662,136.16666666666666
CL108101050@,-13.543775,9.183078,20,1.0924556612968446,206.97106399536133,129.25
CL108105002@,-18.311472,10.901093,28,-4284.312093102506,-4153.683037894113,1.457142836633299e+38
CL108105003A,-10.579517,6.940152,94,-424.3188916172119,-223.7325802255184,1.4468084902741975e+37
CL108105003B,1.4733679,10.052961,59,-1524.128905118522,-1374.6235847473145,5.186440604965979e+37
CL108116001@,6.3056097,16.750938,9,-9999.0,-9999.0,3.3999999521443642e+38
CL108116002@,-9.171456,5.1594563,7,-9999.0,-9999.0,3.3999999521443642e+38
CL108116003@,-11.740195,5.744429,25,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-13.40239,9.406277,636,-9999.0,-9999.0,3.3999999521443642e+38
CL108116005@,-10.941581,6.87367,14,-9999.0,-9999.0,3.3999999521443642e+38
CL108116006@,-13.142264,8.303346,14,-9999.0,-9999.0,3.3999999521443642e+38
CL108130003@,9.447791,7.871493,13,1.2200388312339783,116.48394995469313,143.84615384615384
CL108130004@,2.5055542,4.6897798,8,1.0116824880242348,247.5566897392273,142.25
CL108130005@,5.780007,6.9634852,11,1.3007558367469094,168.55774584683505,143.63636363636363
CL108130006@,4.5052314,6.0419984,7,0.8063043015343803,247.30874851771765,143.28571428571428
CL108130007@,-1.154985,8.331544,66,1.2362625201543171,203.2470639329968,143.87878787878788
CL108130008@,-1.096474,9.516883,38,1.1031800288903086,149.04134765424226,144.39473684210526
CL108130009@,-18.06492,17.310751,71,1.2416118618468164,202.87111298467073,144.80281690140845
CL108130010@,-8.537839,13.759853,77,0.7804154567904287,155.9645732532848,146.1038961038961
